TransactionID,Amount,SenderCounty,ReceiverCounty,TimeOfDay,TransactionType,AccountAgeMonths,TransactionsLast24Hours,DeviceChangedRecently,NewLocationLogin,FailedPinAttempts,IsWeekend,Fraudulent
TXN000038,386221,Mombasa,Uasin Gishu,1,Withdraw,119,11,No,Yes,4,Yes,Yes
TXN000039,116669,Nakuru,Nairobi,21,Paybill,26,27,No,No,4,Yes,No
TXN000040,208960,Nyeri,Machakos,0,Send Money,43,9,Yes,No,5,No,Yes
TXN000041,459870,Machakos,Machakos,13,Send Money,34,6,No,Yes,1,No,No
TXN000042,202003,Nairobi,Nyeri,17,Paybill,116,19,Yes,No,0,No,No
TXN000043,191006,Nyeri,Kiambu,21,Withdraw,56,3,No,No,1,No,No
TXN000044,171063,Uasin Gishu,Kisumu,19,Till,52,23,No,Yes,3,No,Yes
TXN000045,212950,Uasin Gishu,Meru,19,Till,71,27,Yes,No,4,Yes,Yes
TXN000046,243837,Kiambu,Nyeri,21,Till,57,15,Yes,No,2,Yes,No
TXN000047,49011,Kisumu,Nairobi,1,Paybill,105,25,Yes,No,3,Yes,Yes
TXN000048,249158,Uasin Gishu,Kakamega,12,Paybill,79,28,Yes,No,6,Yes,Yes
TXN000049,77419,Kisumu,Nyeri,14,Send Money,84,23,Yes,Yes,6,Yes,Yes
TXN000050,292291,Nyeri,Nyeri,19,Till,32,30,Yes,No,2,No,No
TXN000051,498144,Kisumu,Kakamega,14,Till,97,29,No,No,8,No,No
TXN000052,394197,Kakamega,Mombasa,22,Till,32,27,No,No,3,No,No
TXN000053,122992,Nakuru,Uasin Gishu,22,Paybill,35,11,No,Yes,2,Yes,No
TXN000054,370417,Uasin Gishu,Nairobi,6,Withdraw,28,3,No,No,5,No,No
TXN000055,204248,Machakos,Kiambu,12,Withdraw,116,25,Yes,No,7,Yes,Yes
TXN000056,282232,Uasin Gishu,Kakamega,0,Withdraw,96,24,Yes,No,3,No,Yes
TXN000057,176278,Meru,Nyeri,0,Withdraw,86,22,No,Yes,7,Yes,Yes
TXN000058,310372,Kakamega,Kisumu,1,Till,73,22,Yes,Yes,6,Yes,Yes
TXN000059,198809,Kiambu,Uasin Gishu,8,Send Money,42,7,No,No,5,No,No
TXN000060,246626,Nairobi,Nairobi,7,Paybill,3,24,Yes,No,3,Yes,Yes
TXN000061,440047,Mombasa,Meru,6,Withdraw,3,20,Yes,Yes,2,No,Yes
TXN000062,366771,Kiambu,Mombasa,18,Send Money,33,25,No,Yes,1,Yes,No
TXN000063,487054,Meru,Nakuru,3,Till,40,19,No,No,3,Yes,No
TXN000064,445848,Machakos,Mombasa,16,Till,88,20,Yes,Yes,5,No,Yes
TXN000065,6683,Kakamega,Kisumu,13,Paybill,109,14,No,Yes,6,No,Yes
TXN000066,384770,Meru,Kiambu,10,Paybill,67,21,No,No,7,No,No
TXN000067,435592,Meru,Meru,21,Withdraw,120,3,No,No,3,No,No
TXN000068,176418,Machakos,Kiambu,10,Till,4,16,No,Yes,7,Yes,Yes
TXN000069,461591,Mombasa,Nakuru,23,Withdraw,77,23,No,Yes,8,Yes,Yes
TXN000070,256205,Nairobi,Mombasa,9,Paybill,72,25,Yes,No,7,No,Yes
TXN000071,212072,Uasin Gishu,Nyeri,10,Till,89,8,No,No,7,No,No
TXN000072,368548,Nakuru,Machakos,3,Paybill,59,9,No,No,3,Yes,No
TXN000073,100472,Mombasa,Nakuru,9,Paybill,28,24,No,No,8,No,No
TXN000074,189255,Nairobi,Nyeri,9,Paybill,23,10,Yes,Yes,4,Yes,Yes
TXN000075,334477,Kakamega,Kakamega,14,Till,112,25,No,Yes,0,No,No
TXN000076,96709,Kakamega,Mombasa,18,Send Money,7,9,No,Yes,1,No,No
TXN000077,79598,Nyeri,Uasin Gishu,19,Paybill,20,26,No,Yes,3,Yes,Yes
TXN000078,406736,Kiambu,Meru,19,Send Money,67,13,No,No,4,No,No
TXN000079,319672,Kisumu,Nakuru,5,Send Money,95,4,Yes,Yes,4,Yes,Yes
TXN000080,82118,Nakuru,Kiambu,22,Till,1,14,No,No,4,Yes,Yes
TXN000081,368617,Uasin Gishu,Mombasa,17,Paybill,111,15,Yes,Yes,4,Yes,Yes
TXN000082,339597,Kisumu,Kiambu,19,Till,20,30,No,Yes,1,Yes,No
TXN000083,230292,Kakamega,Mombasa,19,Send Money,16,15,No,No,4,No,No
TXN000084,466363,Nakuru,Meru,18,Send Money,56,24,No,No,0,Yes,No
TXN000085,401004,Nyeri,Kakamega,8,Paybill,87,27,No,Yes,2,No,No
TXN000086,306931,Uasin Gishu,Machakos,10,Send Money,56,21,No,Yes,7,No,Yes
TXN000087,449749,Nyeri,Nairobi,14,Send Money,21,11,No,No,4,No,No
TXN000088,164947,Nyeri,Kakamega,13,Send Money,33,11,Yes,No,8,Yes,Yes
TXN000089,98397,Kiambu,Nyeri,4,Till,67,12,No,No,0,Yes,No
TXN000090,229749,Kisumu,Kiambu,17,Send Money,113,23,No,Yes,0,Yes,No
TXN000091,289588,Kisumu,Kakamega,22,Till,53,3,Yes,Yes,7,Yes,Yes
TXN000092,266845,Kakamega,Nyeri,4,Withdraw,91,9,No,No,7,Yes,No
TXN000093,99984,Machakos,Nyeri,8,Send Money,118,20,Yes,Yes,4,No,Yes
TXN000094,148339,Machakos,Machakos,17,Withdraw,93,10,No,Yes,7,No,Yes
TXN000095,238781,Uasin Gishu,Nairobi,10,Withdraw,120,11,Yes,Yes,6,Yes,Yes
TXN000096,369792,Nairobi,Kisumu,16,Till,117,26,No,No,2,No,No
TXN000097,456023,Nairobi,Kisumu,13,Paybill,13,28,No,Yes,8,No,Yes
TXN000098,39281,Machakos,Nyeri,12,Till,61,26,No,No,6,Yes,No
TXN000099,328673,Kiambu,Nakuru,23,Send Money,92,29,No,Yes,1,Yes,No
TXN000100,227576,Nairobi,Nairobi,10,Send Money,13,25,Yes,No,2,No,No
TXN000101,153859,Meru,Kisumu,5,Paybill,46,12,No,Yes,3,No,Yes
TXN000102,41452,Nakuru,Kakamega,20,Till,79,28,No,Yes,7,Yes,Yes
TXN000103,240997,Mombasa,Kakamega,11,Till,33,22,Yes,No,4,Yes,Yes
TXN000104,335037,Uasin Gishu,Kakamega,3,Paybill,55,23,No,No,4,Yes,No
TXN000105,199994,Kiambu,Nairobi,18,Send Money,74,12,No,No,0,No,No
TXN000106,477475,Nakuru,Nakuru,19,Till,78,24,No,No,3,No,No
TXN000107,355393,Kakamega,Nairobi,18,Till,97,24,Yes,Yes,0,No,Yes
TXN000108,384017,Nakuru,Kisumu,17,Till,17,3,No,No,6,Yes,No
TXN000109,278369,Kiambu,Machakos,3,Withdraw,65,30,No,Yes,4,No,Yes
TXN000110,39528,Mombasa,Uasin Gishu,0,Till,19,25,Yes,No,8,No,Yes
TXN000111,281368,Mombasa,Nakuru,15,Send Money,16,15,No,No,6,No,No
TXN000112,324870,Kiambu,Uasin Gishu,3,Paybill,114,18,No,Yes,1,No,No
TXN000113,23824,Nyeri,Kisumu,12,Withdraw,5,10,No,Yes,1,Yes,No
TXN000114,194566,Kakamega,Meru,13,Till,86,24,No,Yes,6,Yes,Yes
TXN000115,17202,Machakos,Mombasa,21,Till,89,12,Yes,No,7,Yes,Yes
TXN000116,285506,Nakuru,Mombasa,14,Send Money,116,21,No,Yes,6,No,Yes
TXN000117,347531,Kisumu,Meru,6,Send Money,28,21,Yes,Yes,5,Yes,Yes
TXN000118,435113,Kisumu,Meru,0,Till,98,18,Yes,Yes,3,No,Yes
TXN000119,450102,Kisumu,Nairobi,11,Paybill,19,5,No,Yes,1,Yes,No
TXN000120,308778,Uasin Gishu,Nyeri,3,Send Money,42,1,Yes,No,0,Yes,No
TXN000121,249740,Meru,Nairobi,23,Till,58,25,No,Yes,7,Yes,Yes
TXN000122,240196,Mombasa,Kakamega,22,Withdraw,83,1,Yes,No,6,No,Yes
TXN000123,38580,Kiambu,Meru,20,Till,116,3,No,Yes,1,Yes,No
TXN000124,199753,Mombasa,Mombasa,20,Paybill,77,17,No,No,8,No,No
TXN000125,225530,Uasin Gishu,Uasin Gishu,23,Send Money,58,29,Yes,No,5,No,Yes
TXN000126,163915,Mombasa,Mombasa,2,Send Money,55,11,No,No,2,No,No
TXN000127,226477,Meru,Nyeri,17,Till,13,24,No,Yes,8,Yes,Yes
TXN000128,351329,Meru,Kiambu,11,Send Money,16,14,No,No,0,No,No
TXN000129,303045,Machakos,Nyeri,11,Send Money,65,7,Yes,No,3,Yes,Yes
TXN000130,399874,Meru,Kiambu,0,Paybill,36,19,Yes,No,8,Yes,Yes
TXN000131,143322,Kisumu,Kisumu,18,Withdraw,90,25,No,No,5,Yes,No
TXN000132,36532,Uasin Gishu,Uasin Gishu,14,Till,19,24,Yes,Yes,8,Yes,Yes
TXN000133,82577,Kisumu,Meru,1,Send Money,48,10,No,Yes,0,Yes,No
TXN000134,142710,Kiambu,Nakuru,16,Send Money,57,22,No,No,7,No,No
TXN000135,181019,Nairobi,Nakuru,12,Send Money,56,4,No,No,8,No,No
TXN000136,4080,Machakos,Mombasa,0,Withdraw,27,10,Yes,Yes,4,No,Yes
TXN000137,391700,Nyeri,Nyeri,21,Till,56,6,Yes,No,8,Yes,Yes
TXN000138,37838,Mombasa,Machakos,18,Withdraw,51,28,Yes,No,0,No,No
TXN000139,300676,Nairobi,Machakos,5,Withdraw,52,23,No,No,1,No,No
TXN000140,436271,Nakuru,Uasin Gishu,18,Withdraw,89,30,No,Yes,6,Yes,Yes
TXN000141,274757,Kisumu,Mombasa,16,Send Money,11,13,No,No,3,No,No
TXN000142,278239,Mombasa,Kisumu,8,Paybill,66,7,No,No,2,Yes,No
TXN000143,91013,Meru,Meru,14,Till,78,5,Yes,Yes,7,No,Yes
TXN000144,453164,Kakamega,Kiambu,8,Send Money,81,11,Yes,No,1,No,No
TXN000145,184569,Nairobi,Machakos,9,Send Money,65,3,No,No,7,Yes,No
TXN000146,338040,Kakamega,Meru,20,Paybill,111,28,Yes,No,7,Yes,Yes
TXN000147,168622,Machakos,Mombasa,16,Paybill,78,16,Yes,Yes,7,Yes,Yes
TXN000148,20571,Machakos,Machakos,9,Withdraw,32,23,No,No,8,Yes,No
TXN000149,214362,Mombasa,Nyeri,21,Withdraw,100,11,Yes,No,1,No,No
TXN000150,149024,Machakos,Kiambu,20,Withdraw,33,24,Yes,No,1,Yes,No
TXN000151,67657,Machakos,Kisumu,21,Send Money,77,23,Yes,No,8,No,Yes
TXN000152,338753,Kisumu,Nakuru,10,Withdraw,86,14,No,Yes,5,No,Yes
TXN000153,100716,Nyeri,Nyeri,23,Send Money,29,5,Yes,Yes,4,Yes,Yes
TXN000154,347091,Kisumu,Meru,5,Withdraw,44,29,Yes,No,2,Yes,No
TXN000155,22957,Nakuru,Nyeri,7,Till,53,12,Yes,No,4,No,Yes
TXN000156,424001,Kiambu,Uasin Gishu,16,Withdraw,101,16,Yes,No,7,No,Yes
TXN000157,85015,Machakos,Nyeri,3,Send Money,105,7,Yes,No,0,No,No
TXN000158,149505,Uasin Gishu,Mombasa,7,Withdraw,11,25,Yes,No,7,Yes,Yes
TXN000159,463850,Nyeri,Machakos,7,Withdraw,45,30,Yes,No,0,No,No
TXN000160,42834,Kisumu,Kisumu,1,Till,48,8,Yes,No,1,No,No
TXN000161,481029,Mombasa,Nairobi,8,Paybill,107,16,Yes,No,7,Yes,Yes
TXN000162,437811,Kiambu,Mombasa,1,Paybill,20,18,No,Yes,4,Yes,Yes
TXN000163,220159,Meru,Nyeri,0,Paybill,82,26,No,Yes,1,No,No
TXN000164,376774,Meru,Uasin Gishu,5,Send Money,19,10,No,Yes,5,Yes,Yes
TXN000165,274506,Uasin Gishu,Machakos,8,Send Money,47,3,Yes,No,7,Yes,Yes
TXN000166,187270,Kisumu,Nairobi,11,Till,101,3,No,Yes,1,No,No
TXN000167,426562,Mombasa,Kakamega,1,Till,83,6,No,No,2,Yes,No
TXN000168,105741,Nyeri,Uasin Gishu,17,Withdraw,6,26,Yes,Yes,5,No,Yes
TXN000169,132859,Machakos,Kiambu,3,Till,5,25,Yes,No,5,Yes,Yes
TXN000170,229138,Kakamega,Kakamega,11,Till,114,13,No,No,5,Yes,No
TXN000171,420082,Nyeri,Kiambu,10,Send Money,11,24,No,Yes,6,Yes,Yes
TXN000172,42029,Kisumu,Kakamega,11,Withdraw,42,22,No,No,7,No,No
TXN000173,22256,Mombasa,Uasin Gishu,11,Paybill,94,28,No,No,4,Yes,No
TXN000174,499586,Nakuru,Machakos,11,Withdraw,4,5,No,Yes,2,Yes,No
TXN000175,497844,Kakamega,Mombasa,18,Paybill,73,2,Yes,No,5,No,Yes
TXN000176,277639,Nairobi,Kisumu,15,Withdraw,47,13,No,No,3,Yes,No
TXN000177,479009,Meru,Kiambu,22,Withdraw,72,4,No,No,7,Yes,No
TXN000178,105001,Mombasa,Machakos,21,Till,16,5,Yes,No,2,No,No
TXN000179,372053,Machakos,Nyeri,7,Send Money,9,18,No,No,2,Yes,No
TXN000180,105421,Nyeri,Meru,11,Withdraw,102,5,Yes,No,0,No,No
TXN000181,421400,Kakamega,Nyeri,13,Withdraw,71,5,Yes,Yes,4,No,Yes
TXN000182,431716,Kakamega,Nyeri,11,Paybill,74,3,Yes,No,1,No,No
TXN000183,460353,Mombasa,Nyeri,4,Till,107,25,Yes,Yes,6,Yes,Yes
TXN000184,86377,Mombasa,Kiambu,6,Till,21,11,Yes,No,8,No,Yes
TXN000185,65675,Meru,Meru,10,Send Money,81,10,Yes,Yes,2,Yes,No
TXN000186,432711,Meru,Uasin Gishu,19,Send Money,111,1,Yes,Yes,4,Yes,Yes
TXN000187,261165,Uasin Gishu,Kiambu,14,Send Money,114,21,No,No,7,Yes,No
TXN000188,361081,Nakuru,Machakos,19,Paybill,8,6,No,No,7,No,No
TXN000189,163933,Machakos,Nyeri,17,Send Money,111,23,No,No,6,Yes,No
TXN000190,167358,Kisumu,Mombasa,1,Till,31,15,Yes,No,7,Yes,Yes
TXN000191,495703,Meru,Machakos,6,Paybill,50,28,No,Yes,2,No,No
TXN000192,261284,Mombasa,Uasin Gishu,16,Withdraw,66,15,No,No,7,Yes,No
TXN000193,126261,Kakamega,Meru,20,Withdraw,28,19,No,Yes,0,No,No
TXN000194,149864,Machakos,Uasin Gishu,11,Send Money,69,1,Yes,No,2,No,No
TXN000195,210070,Mombasa,Uasin Gishu,16,Withdraw,7,19,Yes,No,8,No,Yes
TXN000196,400817,Machakos,Machakos,17,Till,71,9,Yes,Yes,1,No,Yes
TXN000197,395869,Kisumu,Machakos,15,Withdraw,19,7,No,Yes,0,Yes,No
TXN000198,78137,Uasin Gishu,Meru,23,Till,78,29,Yes,No,5,Yes,Yes
TXN000199,311332,Machakos,Machakos,21,Send Money,44,17,No,No,7,Yes,No
TXN000200,218437,Nairobi,Meru,15,Paybill,75,10,Yes,No,4,Yes,Yes
TXN000201,274898,Meru,Mombasa,6,Send Money,81,24,No,Yes,3,Yes,Yes
TXN000202,231281,Nyeri,Meru,15,Send Money,41,14,Yes,No,3,No,Yes
TXN000203,370079,Machakos,Kisumu,14,Till,18,17,Yes,No,7,No,Yes
TXN000204,286454,Kiambu,Nyeri,9,Paybill,46,22,No,No,3,Yes,No
TXN000205,493659,Kakamega,Machakos,17,Till,39,25,No,Yes,7,No,Yes
TXN000206,150934,Kiambu,Nairobi,9,Send Money,16,19,No,No,5,Yes,No
TXN000207,181644,Nyeri,Kiambu,17,Till,119,15,No,No,3,Yes,No
TXN000208,72020,Nakuru,Nairobi,3,Withdraw,14,20,Yes,Yes,0,Yes,Yes
TXN000209,173218,Uasin Gishu,Kakamega,15,Paybill,92,16,Yes,Yes,0,Yes,Yes
TXN000210,396365,Nyeri,Nairobi,5,Withdraw,37,11,No,Yes,1,Yes,No
TXN000211,462600,Kiambu,Nairobi,0,Till,108,6,Yes,No,7,Yes,Yes
TXN000212,297825,Kisumu,Nyeri,14,Till,78,4,No,No,7,No,No
TXN000213,101138,Kisumu,Nairobi,23,Till,104,4,No,Yes,7,No,Yes
TXN000214,414639,Nyeri,Machakos,2,Withdraw,38,19,Yes,Yes,6,No,Yes
TXN000215,350932,Nairobi,Kiambu,12,Paybill,13,6,Yes,No,5,Yes,Yes
TXN000216,234268,Machakos,Nakuru,1,Send Money,97,9,No,No,0,No,No
TXN000217,244051,Machakos,Meru,7,Paybill,40,6,No,No,1,No,No
TXN000218,70078,Nyeri,Nakuru,7,Send Money,62,5,No,No,6,No,No
TXN000219,275566,Nyeri,Nyeri,6,Paybill,58,17,No,Yes,1,Yes,No
TXN000220,86314,Mombasa,Nyeri,14,Send Money,42,28,No,Yes,3,No,Yes
TXN000221,237779,Kiambu,Nairobi,12,Till,17,17,No,No,0,No,No
TXN000222,428106,Machakos,Mombasa,17,Send Money,1,24,Yes,Yes,0,No,Yes
TXN000223,490040,Kisumu,Kisumu,20,Withdraw,115,3,No,Yes,4,No,Yes
TXN000224,196375,Nyeri,Kisumu,20,Till,115,13,No,No,6,Yes,No
TXN000225,62247,Nairobi,Kiambu,14,Withdraw,23,18,No,Yes,3,Yes,Yes
TXN000226,278936,Kisumu,Kiambu,6,Send Money,49,27,Yes,Yes,7,No,Yes
TXN000227,16941,Mombasa,Mombasa,19,Send Money,104,22,No,Yes,3,Yes,Yes
TXN000228,234113,Kakamega,Nakuru,17,Paybill,77,22,Yes,Yes,0,No,Yes
TXN000229,395565,Nakuru,Meru,10,Till,111,25,Yes,Yes,8,No,Yes
TXN000230,124255,Kiambu,Nairobi,17,Paybill,39,29,Yes,Yes,6,No,Yes
TXN000231,328250,Nyeri,Machakos,22,Withdraw,87,14,No,Yes,5,No,Yes
TXN000232,214095,Nakuru,Nakuru,9,Paybill,20,10,No,Yes,8,No,Yes
TXN000233,422508,Uasin Gishu,Nakuru,8,Paybill,60,30,Yes,No,6,Yes,Yes
TXN000234,173202,Nairobi,Kiambu,12,Send Money,83,3,No,No,1,Yes,No
TXN000235,458078,Kiambu,Nairobi,6,Paybill,10,7,Yes,No,3,No,Yes
TXN000236,388796,Nakuru,Nyeri,10,Till,16,24,No,Yes,3,No,Yes
TXN000237,199626,Nyeri,Kakamega,14,Send Money,60,18,No,No,4,No,No
TXN000238,420957,Uasin Gishu,Nairobi,18,Paybill,93,16,No,Yes,5,No,Yes
TXN000239,388679,Nakuru,Machakos,7,Withdraw,19,1,No,No,4,Yes,No
TXN000240,298783,Kakamega,Kakamega,5,Till,107,8,No,No,4,No,No
TXN000241,88793,Nyeri,Nairobi,2,Send Money,18,24,No,Yes,8,Yes,Yes
TXN000242,400783,Nairobi,Nakuru,16,Withdraw,1,14,Yes,Yes,1,Yes,Yes
TXN000243,195714,Nyeri,Nyeri,13,Send Money,8,20,No,No,0,Yes,No
TXN000244,8819,Kisumu,Mombasa,3,Paybill,68,24,No,No,0,No,No
TXN000245,126387,Mombasa,Machakos,12,Withdraw,25,20,No,No,4,No,No
TXN000246,296273,Mombasa,Uasin Gishu,12,Withdraw,32,23,Yes,No,1,Yes,No
TXN000247,289824,Uasin Gishu,Machakos,18,Send Money,61,2,Yes,Yes,1,No,Yes
TXN000248,469178,Kiambu,Nairobi,2,Till,68,30,Yes,Yes,3,No,Yes
TXN000249,471548,Nakuru,Meru,4,Withdraw,70,19,Yes,Yes,5,Yes,Yes
TXN000250,487047,Uasin Gishu,Kisumu,22,Send Money,10,10,Yes,Yes,6,No,Yes
TXN000251,262609,Mombasa,Machakos,19,Withdraw,96,12,Yes,Yes,6,Yes,Yes
TXN000252,405615,Machakos,Nyeri,12,Withdraw,42,1,No,No,7,Yes,No
TXN000253,97430,Mombasa,Mombasa,8,Paybill,88,19,No,Yes,4,Yes,Yes
TXN000254,199279,Mombasa,Mombasa,0,Till,92,26,Yes,No,5,No,Yes
TXN000255,233219,Kisumu,Uasin Gishu,14,Withdraw,47,25,No,Yes,2,Yes,No
TXN000256,54205,Nairobi,Kiambu,13,Withdraw,4,3,No,Yes,5,No,No
TXN000257,408559,Kisumu,Kiambu,9,Till,11,24,Yes,Yes,6,Yes,Yes
TXN000258,258588,Kiambu,Kakamega,2,Till,19,3,Yes,No,4,No,Yes
TXN000259,132013,Kisumu,Kiambu,0,Withdraw,32,24,No,Yes,7,Yes,Yes
TXN000260,174227,Uasin Gishu,Meru,4,Till,108,20,No,No,7,No,No
TXN000261,168170,Uasin Gishu,Machakos,9,Withdraw,78,23,Yes,No,5,Yes,Yes
TXN000262,301976,Machakos,Mombasa,18,Paybill,101,8,No,No,4,No,No
TXN000263,310547,Kiambu,Mombasa,13,Withdraw,70,6,Yes,No,3,No,Yes
TXN000264,73019,Uasin Gishu,Mombasa,14,Withdraw,82,10,Yes,No,2,No,No
TXN000265,305313,Mombasa,Nakuru,21,Till,52,18,No,Yes,5,Yes,Yes
TXN000266,87259,Mombasa,Nairobi,3,Till,83,20,Yes,No,5,No,Yes
TXN000267,116442,Kakamega,Meru,22,Paybill,66,24,Yes,No,5,No,Yes
TXN000268,180912,Mombasa,Kisumu,11,Till,4,16,Yes,No,6,Yes,Yes
TXN000269,179915,Mombasa,Kakamega,23,Withdraw,59,26,Yes,No,5,No,Yes
TXN000270,167250,Mombasa,Kisumu,23,Paybill,9,10,Yes,Yes,0,No,Yes
TXN000271,270579,Kakamega,Nakuru,12,Paybill,23,18,Yes,No,8,No,Yes
TXN000272,97770,Kakamega,Meru,13,Withdraw,82,22,No,No,0,Yes,No
TXN000273,2383,Nyeri,Kisumu,11,Till,91,7,Yes,No,1,Yes,No
TXN000274,103373,Meru,Uasin Gishu,19,Withdraw,59,4,No,No,8,No,No
TXN000275,307809,Meru,Meru,2,Paybill,15,12,No,No,2,No,No
TXN000276,164249,Kisumu,Nyeri,12,Withdraw,16,8,No,Yes,2,No,No
TXN000277,312748,Nyeri,Kisumu,17,Paybill,18,19,No,No,2,No,No
TXN000278,256763,Machakos,Nairobi,15,Paybill,37,5,Yes,No,7,Yes,Yes
TXN000279,102353,Kakamega,Kakamega,5,Send Money,105,13,No,No,7,No,No
TXN000280,296481,Nakuru,Nyeri,9,Paybill,4,26,Yes,No,0,No,No
TXN000281,409382,Nyeri,Machakos,17,Send Money,59,19,No,Yes,1,No,No
TXN000282,398511,Kiambu,Nairobi,14,Till,93,15,Yes,No,1,Yes,No
TXN000283,182804,Nakuru,Meru,22,Till,111,27,Yes,No,1,Yes,No
TXN000284,451487,Nakuru,Nairobi,18,Till,91,20,No,Yes,2,Yes,No
TXN000285,279118,Meru,Kiambu,16,Send Money,36,20,Yes,No,4,No,Yes
TXN000286,71137,Kisumu,Nakuru,4,Till,97,26,No,Yes,4,Yes,Yes
TXN000287,434413,Uasin Gishu,Uasin Gishu,14,Send Money,32,25,No,No,2,No,No
TXN000288,332253,Machakos,Kakamega,15,Till,102,29,Yes,No,8,No,Yes
TXN000289,305162,Nyeri,Uasin Gishu,6,Withdraw,1,28,Yes,No,5,Yes,Yes
TXN000290,432507,Nyeri,Meru,4,Withdraw,28,16,No,No,4,No,No
TXN000291,413348,Nairobi,Mombasa,5,Withdraw,44,29,Yes,Yes,1,No,Yes
TXN000292,239396,Kiambu,Mombasa,20,Till,1,14,Yes,Yes,4,Yes,Yes
TXN000293,131326,Nakuru,Uasin Gishu,20,Send Money,11,12,Yes,Yes,6,No,Yes
TXN000294,368990,Meru,Nakuru,16,Withdraw,13,1,Yes,No,1,Yes,No
TXN000295,4919,Kakamega,Mombasa,7,Withdraw,2,23,No,Yes,6,Yes,Yes
TXN000296,46885,Kiambu,Kisumu,12,Paybill,94,26,Yes,Yes,5,No,Yes
TXN000297,336420,Machakos,Nakuru,20,Paybill,87,5,Yes,Yes,2,No,Yes
TXN000298,482339,Kisumu,Mombasa,18,Withdraw,53,20,No,Yes,1,Yes,No
TXN000299,184355,Nakuru,Nyeri,19,Till,55,11,Yes,Yes,4,Yes,Yes
TXN000300,408454,Uasin Gishu,Kiambu,20,Send Money,89,1,No,Yes,8,Yes,Yes
TXN000301,410987,Nakuru,Kakamega,20,Send Money,115,26,Yes,No,6,Yes,Yes
TXN000302,277024,Meru,Uasin Gishu,11,Paybill,114,1,No,No,2,No,No
